ID,Title,Severity,CWE,Component,File,Line,Evidence,ExploitScenario,Remediation,Owner,Effort,PhaseGate,Status
SEC-001,Hardcoded Center password in Edge v2 JWT login,CRITICAL,CWE-798,Edge v2 Auth,edge-v2/agent/main.py,137,"json={""username"":""admin"",""password"":""..."", Leaked source code exposes Center admin credentials,Move to env var EDGE_CENTER_PASSWORD with no default,Backend,2h,P0,SOURCE_FIXED
SEC-002,7 non-standard ports publicly exposed,CRITICAL,CWE-200,VPS Network,VPS iptables/ufw,-,ss -lntup shows 9998 9999 4840 4841 7000 8002 8100 on 0.0.0.0""",Direct access to simulator test server OPC UA and unknown services from internet,Close all ports except 80+22 via ufw. Route Edge v2 via nginx reverse proxy,DevOps,3h,P0 Blocking,SOURCE_PATCHED
SEC-003,No HTTPS on public-facing services,HIGH,CWE-319,Deployment,nginx + Edge v2,-,curl -v shows HTTP only no redirect,Man-in-the-middle captures JWT tokens session cookies and passwords,Add Let's Encrypt TLS to nginx. Redirect HTTP→HTTPS. Set Secure flag on cookies,DevOps,4h,P1,OPEN
SEC-004,Default session_secret in Edge v2 config,HIGH,CWE-1188,Edge v2 Config,config.edge-v2.yaml,-,session_secret: super-secret-key-change-in-production,Predictable session secret allows session forgery across all Edge v2 users,Generate random 64-char secret. Move to EDGE_SESSION_SECRET env var. Remove from YAML,Edge v2,1h,P1,OPEN
SEC-005,Default API key in deployment,HIGH,CWE-798,Deployment,docker-compose.yml,82,API_KEYS: ${API_KEYS:-plantos-edge-key-2026},Default key grants Edge API access if env var not set,Generate random key. Remove default value from compose file. Document rotation,DevOps,30m,P1,OPEN
SEC-006,Public Edge v2 without TLS,HIGH,CWE-319,Edge v2 Web,VPS port 8011,-,Edge v2 login page served over HTTP on public IP,Session cookies transmitted in cleartext over internet,Route Edge v2 through nginx with TLS OR restrict to localhost only,DevOps,2h,P1,OPEN
SEC-007,Password hashes exported without TLS,MEDIUM,CWE-522,Edge User Sync,edge_users/router.py,export_edge_users,Returns password_hash field in JSON response,Hashes captured in transit enable offline cracking,Add TLS for Center→Edge sync. Consider service-scoped API key. Add audit log,Backend+Edge,3h,P2,OPEN
SEC-008,DOM XSS via innerHTML in nav.js,MEDIUM,CWE-79,Edge v2 UI,nav.js,-,sidebar.innerHTML = `...${navItems}...`,Malicious connector name or label injected via config could execute JS,Use textContent or DOMPurify for dynamic content,Frontend,2h,P2,OPEN
SEC-009,EMQX unhealthy,HIGH,CWE-1104,Infrastructure,EMQX container,-,docker ps shows unhealthy,Message broker failure could impact MQTT-dependent features. Unknown security patch status,Fix or remove EMQX from deployment,DevOps,2h,P2,OPEN
SEC-010,No rate limiting on login,HIGH,CWE-307,Backend+Edge v2,auth endpoints,-,No rate limit middleware found,Brute-force attack on admin password possible,Add rate limiting middleware (e.g. slowapi) to login endpoints,Backend+Edge,3h,P2,OPEN
CQ-001,ThresholdConfig type missing after refactor,MEDIUM,CWE-0,Frontend,5 files in operations/,-,TS2304 Cannot find name ThresholdConfig,Build fails blocking deployment,Add type import from shared types or define locally,Frontend,30m,P0 Blocking,OPEN
